PTNBH	Provinsi asal peminat	Jumlah pendaftar SNBT-UTBK	% of Total
INSTITUT TEKNOLOGI SEPULUH NOPEMBER	Jawa Barat	3427	9.1
INSTITUT TEKNOLOGI SEPULUH NOPEMBER	Jawa Tengah	2470	6.5
INSTITUT TEKNOLOGI SEPULUH NOPEMBER	Jawa Timur	21836	57.9
INSTITUT TEKNOLOGI SEPULUH NOPEMBER	Kalimantan Barat	131	0.3
INSTITUT TEKNOLOGI SEPULUH NOPEMBER	Kalimantan Selatan	275	0.7
INSTITUT TEKNOLOGI SEPULUH NOPEMBER	Kalimantan Tengah	132	0.3
INSTITUT TEKNOLOGI SEPULUH NOPEMBER	Kalimantan Timur	661	1.8
INSTITUT TEKNOLOGI SEPULUH NOPEMBER	Kalimantan Utara	40	0.1
INSTITUT TEKNOLOGI SEPULUH NOPEMBER	Kepulauan Bangka Belitung	62	0.2
INSTITUT TEKNOLOGI SEPULUH NOPEMBER	Kepulauan Riau	632	1.7
INSTITUT TEKNOLOGI SEPULUH NOPEMBER	Lampung	207	0.5
INSTITUT TEKNOLOGI SEPULUH NOPEMBER	Maluku	48	0.1
INSTITUT TEKNOLOGI SEPULUH NOPEMBER	Maluku Utara	24	0.1
INSTITUT TEKNOLOGI SEPULUH NOPEMBER	Nusa Tenggara Barat	282	0.7
INSTITUT TEKNOLOGI SEPULUH NOPEMBER	Nusa Tenggara Timur	192	0.5
INSTITUT TEKNOLOGI SEPULUH NOPEMBER	Papua	87	0.2
INSTITUT TEKNOLOGI SEPULUH NOPEMBER	Papua Barat	53	0.1
INSTITUT TEKNOLOGI SEPULUH NOPEMBER	Riau	476	1.3
INSTITUT TEKNOLOGI SEPULUH NOPEMBER	Sulawesi Barat	7	0
INSTITUT TEKNOLOGI SEPULUH NOPEMBER	Sulawesi Selatan	428	1.1
INSTITUT TEKNOLOGI SEPULUH NOPEMBER	Sulawesi Tengah	58	0.2
INSTITUT TEKNOLOGI SEPULUH NOPEMBER	Sulawesi Tenggara	95	0.3
INSTITUT TEKNOLOGI SEPULUH NOPEMBER	Sulawesi Utara	82	0.2
INSTITUT TEKNOLOGI SEPULUH NOPEMBER	Sumatera Barat	434	1.2
INSTITUT TEKNOLOGI SEPULUH NOPEMBER	Sumatera Selatan	313	0.8
INSTITUT TEKNOLOGI SEPULUH NOPEMBER	Sumatera Utara	1344	3.6
UNIVERSITAS AIRLANGGA	Aceh	253	0.4
UNIVERSITAS AIRLANGGA	Bali	558	0.8
UNIVERSITAS AIRLANGGA	Banten	1672	2.4
UNIVERSITAS AIRLANGGA	Bengkulu	211	0.3
UNIVERSITAS AIRLANGGA	DI Yogyakarta	724	1
UNIVERSITAS AIRLANGGA	DKI Jakarta	2280	3.3
UNIVERSITAS AIRLANGGA	Gorontalo	109	0.2
UNIVERSITAS AIRLANGGA	Jambi	286	0.4
UNIVERSITAS AIRLANGGA	Jawa Barat	5501	7.9
UNIVERSITAS AIRLANGGA	Jawa Tengah	4835	6.9
UNIVERSITAS AIRLANGGA	Jawa Timur	41213	59.1
UNIVERSITAS AIRLANGGA	Kalimantan Barat	424	0.6
UNIVERSITAS AIRLANGGA	Kalimantan Selatan	584	0.8
UNIVERSITAS AIRLANGGA	Kalimantan Tengah	358	0.5
UNIVERSITAS AIRLANGGA	Kalimantan Timur	954	1.4
UNIVERSITAS AIRLANGGA	Kalimantan Utara	142	0.2
UNIVERSITAS AIRLANGGA	Kepulauan Bangka Belitung	185	0.3
UNIVERSITAS AIRLANGGA	Kepulauan Riau	514	0.7
UNIVERSITAS AIRLANGGA	Lampung	660	0.9
UNIVERSITAS AIRLANGGA	Maluku	166	0.2
UNIVERSITAS AIRLANGGA	Maluku Utara	103	0.1
UNIVERSITAS AIRLANGGA	Nusa Tenggara Barat	815	1.2
UNIVERSITAS AIRLANGGA	Nusa Tenggara Timur	761	1.1
UNIVERSITAS AIRLANGGA	Papua	252	0.4
UNIVERSITAS AIRLANGGA	Papua Barat	95	0.1
UNIVERSITAS AIRLANGGA	Riau	769	1.1
UNIVERSITAS AIRLANGGA	Sulawesi Barat	49	0.1
UNIVERSITAS AIRLANGGA	Sulawesi Selatan	828	1.2
UNIVERSITAS AIRLANGGA	Sulawesi Tengah	211	0.3
UNIVERSITAS AIRLANGGA	Sulawesi Tenggara	259	0.4
UNIVERSITAS AIRLANGGA	Sulawesi Utara	252	0.4
UNIVERSITAS AIRLANGGA	Sumatera Barat	810	1.2
UNIVERSITAS AIRLANGGA	Sumatera Selatan	654	0.9
UNIVERSITAS AIRLANGGA	Sumatera Utara	2261	3.2
UNIVERSITAS ANDALAS	Aceh	187	0.5
UNIVERSITAS ANDALAS	Bali	1	0
UNIVERSITAS ANDALAS	Banten	199	0.5
UNIVERSITAS ANDALAS	Bengkulu	773	1.9
UNIVERSITAS ANDALAS	DI Yogyakarta	32	0.1
UNIVERSITAS ANDALAS	DKI Jakarta	261	0.7
UNIVERSITAS ANDALAS	Gorontalo	4	0
UNIVERSITAS ANDALAS	Jambi	1846	4.6
UNIVERSITAS ANDALAS	Jawa Barat	555	1.4
UNIVERSITAS ANDALAS	Jawa Tengah	73	0.2
UNIVERSITAS ANDALAS	Jawa Timur	83	0.2
