PTNBH	Provinsi asal peminat	Jumlah pendaftar SNBT-UTBK	% of Total
UNIVERSITAS NEGERI MALANG	Sulawesi Barat	28	0.1
UNIVERSITAS NEGERI MALANG	Sulawesi Selatan	196	0.4
UNIVERSITAS NEGERI MALANG	Sulawesi Tengah	88	0.2
UNIVERSITAS NEGERI MALANG	Sulawesi Tenggara	84	0.2
UNIVERSITAS NEGERI MALANG	Sulawesi Utara	24	0.1
UNIVERSITAS NEGERI MALANG	Sumatera Barat	169	0.4
UNIVERSITAS NEGERI MALANG	Sumatera Selatan	161	0.4
UNIVERSITAS NEGERI MALANG	Sumatera Utara	802	1.8
UNIVERSITAS NEGERI PADANG	Aceh	261	0.5
UNIVERSITAS NEGERI PADANG	Bali		0
UNIVERSITAS NEGERI PADANG	Banten	109	0.2
UNIVERSITAS NEGERI PADANG	Bengkulu	1115	1.9
UNIVERSITAS NEGERI PADANG	DI Yogyakarta	8	0
UNIVERSITAS NEGERI PADANG	DKI Jakarta	181	0.3
UNIVERSITAS NEGERI PADANG	Gorontalo	1	0
UNIVERSITAS NEGERI PADANG	Jambi	2795	4.9
UNIVERSITAS NEGERI PADANG	Jawa Barat	317	0.6
UNIVERSITAS NEGERI PADANG	Jawa Tengah	52	0.1
UNIVERSITAS NEGERI PADANG	Jawa Timur	61	0.1
UNIVERSITAS NEGERI PADANG	Kalimantan Barat	8	0
UNIVERSITAS NEGERI PADANG	Kalimantan Selatan	3	0
UNIVERSITAS NEGERI PADANG	Kalimantan Tengah	10	0
UNIVERSITAS NEGERI PADANG	Kalimantan Timur	3	0
UNIVERSITAS NEGERI PADANG	Kalimantan Utara	4	0
UNIVERSITAS NEGERI PADANG	Kepulauan Bangka Belitung	38	0.1
UNIVERSITAS NEGERI PADANG	Kepulauan Riau	421	0.7
UNIVERSITAS NEGERI PADANG	Lampung	76	0.1
UNIVERSITAS NEGERI PADANG	Maluku	4	0
UNIVERSITAS NEGERI PADANG	Maluku Utara	2	0
UNIVERSITAS NEGERI PADANG	Nusa Tenggara Barat	21	0
UNIVERSITAS NEGERI PADANG	Nusa Tenggara Timur	5	0
UNIVERSITAS NEGERI PADANG	Papua	3	0
UNIVERSITAS NEGERI PADANG	Papua Barat	1	0
UNIVERSITAS NEGERI PADANG	Riau	3186	5.6
UNIVERSITAS NEGERI PADANG	Sulawesi Barat	1	0
UNIVERSITAS NEGERI PADANG	Sulawesi Selatan	9	0
UNIVERSITAS NEGERI PADANG	Sulawesi Tengah	3	0
UNIVERSITAS NEGERI PADANG	Sulawesi Tenggara	1	0
UNIVERSITAS NEGERI PADANG	Sulawesi Utara	1	0
UNIVERSITAS NEGERI PADANG	Sumatera Barat	45386	79.2
UNIVERSITAS NEGERI PADANG	Sumatera Selatan	382	0.7
UNIVERSITAS NEGERI PADANG	Sumatera Utara	2829	4.9
UNIVERSITAS NEGERI SEMARANG	Aceh	28	0.1
UNIVERSITAS NEGERI SEMARANG	Bali	29	0.1
UNIVERSITAS NEGERI SEMARANG	Banten	932	2.3
UNIVERSITAS NEGERI SEMARANG	Bengkulu	84	0.2
UNIVERSITAS NEGERI SEMARANG	DI Yogyakarta	471	1.2
UNIVERSITAS NEGERI SEMARANG	DKI Jakarta	1063	2.6
UNIVERSITAS NEGERI SEMARANG	Gorontalo	10	0
UNIVERSITAS NEGERI SEMARANG	Jambi	116	0.3
UNIVERSITAS NEGERI SEMARANG	Jawa Barat	3898	9.7
UNIVERSITAS NEGERI SEMARANG	Jawa Tengah	29779	73.9
UNIVERSITAS NEGERI SEMARANG	Jawa Timur	1199	3
UNIVERSITAS NEGERI SEMARANG	Kalimantan Barat	96	0.2
UNIVERSITAS NEGERI SEMARANG	Kalimantan Selatan	59	0.1
UNIVERSITAS NEGERI SEMARANG	Kalimantan Tengah	222	0.6
UNIVERSITAS NEGERI SEMARANG	Kalimantan Timur	76	0.2
UNIVERSITAS NEGERI SEMARANG	Kalimantan Utara	15	0
UNIVERSITAS NEGERI SEMARANG	Kepulauan Bangka Belitung	96	0.2
UNIVERSITAS NEGERI SEMARANG	Kepulauan Riau	266	0.7
UNIVERSITAS NEGERI SEMARANG	Lampung	274	0.7
UNIVERSITAS NEGERI SEMARANG	Maluku	20	0
UNIVERSITAS NEGERI SEMARANG	Maluku Utara	11	0
UNIVERSITAS NEGERI SEMARANG	Nusa Tenggara Barat	72	0.2
UNIVERSITAS NEGERI SEMARANG	Nusa Tenggara Timur	79	0.2
UNIVERSITAS NEGERI SEMARANG	Papua	60	0.1
UNIVERSITAS NEGERI SEMARANG	Papua Barat	32	0.1
UNIVERSITAS NEGERI SEMARANG	Riau	171	0.4
UNIVERSITAS NEGERI SEMARANG	Sulawesi Barat	8	0
UNIVERSITAS NEGERI SEMARANG	Sulawesi Selatan	58	0.1
UNIVERSITAS NEGERI SEMARANG	Sulawesi Tengah	19	0
UNIVERSITAS NEGERI SEMARANG	Sulawesi Tenggara	29	0.1
UNIVERSITAS NEGERI SEMARANG	Sulawesi Utara	15	0
UNIVERSITAS NEGERI SEMARANG	Sumatera Barat	126	0.3
UNIVERSITAS NEGERI SEMARANG	Sumatera Selatan	208	0.5
UNIVERSITAS NEGERI SEMARANG	Sumatera Utara	671	1.7
UNIVERSITAS NEGERI SURABAYA	Aceh	55	0.1
UNIVERSITAS NEGERI SURABAYA	Bali	146	0.2
UNIVERSITAS NEGERI SURABAYA	Banten	573	0.9
UNIVERSITAS NEGERI SURABAYA	Bengkulu	64	0.1
UNIVERSITAS NEGERI SURABAYA	DI Yogyakarta	177	0.3
UNIVERSITAS NEGERI SURABAYA	DKI Jakarta	881	1.3
UNIVERSITAS NEGERI SURABAYA	Gorontalo	20	0
UNIVERSITAS NEGERI SURABAYA	Jambi	109	0.2
UNIVERSITAS NEGERI SURABAYA	Jawa Barat	2008	3
UNIVERSITAS NEGERI SURABAYA	Jawa Tengah	2728	4.1
UNIVERSITAS NEGERI SURABAYA	Jawa Timur	55144	82.7
UNIVERSITAS NEGERI SURABAYA	Kalimantan Barat	92	0.1
UNIVERSITAS NEGERI SURABAYA	Kalimantan Selatan	183	0.3
UNIVERSITAS NEGERI SURABAYA	Kalimantan Tengah	186	0.3
UNIVERSITAS NEGERI SURABAYA	Kalimantan Timur	369	0.6
UNIVERSITAS NEGERI SURABAYA	Kalimantan Utara	77	0.1
UNIVERSITAS NEGERI SURABAYA	Kepulauan Bangka Belitung	54	0.1
UNIVERSITAS NEGERI SURABAYA	Kepulauan Riau	217	0.3
UNIVERSITAS NEGERI SURABAYA	Lampung	176	0.3
UNIVERSITAS NEGERI SURABAYA	Maluku	68	0.1
UNIVERSITAS NEGERI SURABAYA	Maluku Utara	34	0.1
UNIVERSITAS NEGERI SURABAYA	Nusa Tenggara Barat	296	0.4
UNIVERSITAS NEGERI SURABAYA	Nusa Tenggara Timur	492	0.7
UNIVERSITAS NEGERI SURABAYA	Papua	102	0.2
UNIVERSITAS NEGERI SURABAYA	Papua Barat	42	0.1
UNIVERSITAS NEGERI SURABAYA	Riau	256	0.4
UNIVERSITAS NEGERI SURABAYA	Sulawesi Barat	11	0
UNIVERSITAS NEGERI SURABAYA	Sulawesi Selatan	191	0.3
UNIVERSITAS NEGERI SURABAYA	Sulawesi Tengah	60	0.1
UNIVERSITAS NEGERI SURABAYA	Sulawesi Tenggara	81	0.1
UNIVERSITAS NEGERI SURABAYA	Sulawesi Utara	36	0.1
UNIVERSITAS NEGERI SURABAYA	Sumatera Barat	205	0.3
UNIVERSITAS NEGERI SURABAYA	Sumatera Selatan	164	0.2
UNIVERSITAS NEGERI SURABAYA	Sumatera Utara	1364	2
UNIVERSITAS NEGERI YOGYAKARTA	Aceh	222	0.4
UNIVERSITAS NEGERI YOGYAKARTA	Bali	114	0.2
UNIVERSITAS NEGERI YOGYAKARTA	Banten	1460	2.5
UNIVERSITAS NEGERI YOGYAKARTA	Bengkulu	537	0.9
UNIVERSITAS NEGERI YOGYAKARTA	DI Yogyakarta	18738	31.6
UNIVERSITAS NEGERI YOGYAKARTA	DKI Jakarta	1341	2.3
UNIVERSITAS NEGERI YOGYAKARTA	Gorontalo	60	0.1
UNIVERSITAS NEGERI YOGYAKARTA	Jambi	545	0.9
UNIVERSITAS NEGERI YOGYAKARTA	Jawa Barat	5497	9.3
UNIVERSITAS NEGERI YOGYAKARTA	Jawa Tengah	16868	28.5
UNIVERSITAS NEGERI YOGYAKARTA	Jawa Timur	3121	5.3
UNIVERSITAS NEGERI YOGYAKARTA	Kalimantan Barat	462	0.8
UNIVERSITAS NEGERI YOGYAKARTA	Kalimantan Selatan	267	0.5
UNIVERSITAS NEGERI YOGYAKARTA	Kalimantan Tengah	328	0.6
UNIVERSITAS NEGERI YOGYAKARTA	Kalimantan Timur	441	0.7
UNIVERSITAS NEGERI YOGYAKARTA	Kalimantan Utara	145	0.2
UNIVERSITAS NEGERI YOGYAKARTA	Kepulauan Bangka Belitung	423	0.7
UNIVERSITAS NEGERI YOGYAKARTA	Kepulauan Riau	453	0.8
UNIVERSITAS NEGERI YOGYAKARTA	Lampung	1000	1.7
UNIVERSITAS NEGERI YOGYAKARTA	Maluku	104	0.2
UNIVERSITAS NEGERI YOGYAKARTA	Maluku Utara	95	0.2
UNIVERSITAS NEGERI YOGYAKARTA	Nusa Tenggara Barat	644	1.1
UNIVERSITAS NEGERI YOGYAKARTA	Nusa Tenggara Timur	497	0.8
UNIVERSITAS NEGERI YOGYAKARTA	Papua	187	0.3
UNIVERSITAS NEGERI YOGYAKARTA	Papua Barat	101	0.2
UNIVERSITAS NEGERI YOGYAKARTA	Riau	939	1.6
UNIVERSITAS NEGERI YOGYAKARTA	Sulawesi Barat	73	0.1
UNIVERSITAS NEGERI YOGYAKARTA	Sulawesi Selatan	417	0.7
UNIVERSITAS NEGERI YOGYAKARTA	Sulawesi Tengah	189	0.3
UNIVERSITAS NEGERI YOGYAKARTA	Sulawesi Tenggara	218	0.4
UNIVERSITAS NEGERI YOGYAKARTA	Sulawesi Utara	96	0.2
UNIVERSITAS NEGERI YOGYAKARTA	Sumatera Barat	745	1.3
UNIVERSITAS NEGERI YOGYAKARTA	Sumatera Selatan	1021	1.7
UNIVERSITAS NEGERI YOGYAKARTA	Sumatera Utara	1882	3.2
UNIVERSITAS PADJADJARAN	Aceh	302	0.4
UNIVERSITAS PADJADJARAN	Bali	152	0.2
UNIVERSITAS PADJADJARAN	Banten	5095	6
UNIVERSITAS PADJADJARAN	Bengkulu	386	0.5
UNIVERSITAS PADJADJARAN	DI Yogyakarta	422	0.5
UNIVERSITAS PADJADJARAN	DKI Jakarta	6946	8.2
UNIVERSITAS PADJADJARAN	Gorontalo	63	0.1
UNIVERSITAS PADJADJARAN	Jambi	495	0.6
UNIVERSITAS PADJADJARAN	Jawa Barat	55492	65.8
UNIVERSITAS PADJADJARAN	Jawa Tengah	2441	2.9
UNIVERSITAS PADJADJARAN	Jawa Timur	1349	1.6
UNIVERSITAS PADJADJARAN	Kalimantan Barat	329	0.4
UNIVERSITAS PADJADJARAN	Kalimantan Selatan	230	0.3
UNIVERSITAS PADJADJARAN	Kalimantan Tengah	155	0.2
UNIVERSITAS PADJADJARAN	Kalimantan Timur	323	0.4
UNIVERSITAS PADJADJARAN	Kalimantan Utara	49	0.1
UNIVERSITAS PADJADJARAN	Kepulauan Bangka Belitung	343	0.4
UNIVERSITAS PADJADJARAN	Kepulauan Riau	583	0.7
UNIVERSITAS PADJADJARAN	Lampung	1146	1.4
UNIVERSITAS PADJADJARAN	Maluku	86	0.1
UNIVERSITAS PADJADJARAN	Maluku Utara	78	0.1
UNIVERSITAS PADJADJARAN	Nusa Tenggara Barat	231	0.3
UNIVERSITAS PADJADJARAN	Nusa Tenggara Timur	177	0.2
UNIVERSITAS PADJADJARAN	Papua	142	0.2
UNIVERSITAS PADJADJARAN	Papua Barat	59	0.1
UNIVERSITAS PADJADJARAN	Riau	1106	1.3
UNIVERSITAS PADJADJARAN	Sulawesi Barat	26	0
UNIVERSITAS PADJADJARAN	Sulawesi Selatan	472	0.6
UNIVERSITAS PADJADJARAN	Sulawesi Tengah	142	0.2
UNIVERSITAS PADJADJARAN	Sulawesi Tenggara	127	0.2
UNIVERSITAS PADJADJARAN	Sulawesi Utara	173	0.2
UNIVERSITAS PADJADJARAN	Sumatera Barat	1672	2
UNIVERSITAS PADJADJARAN	Sumatera Selatan	1072	1.3
UNIVERSITAS PADJADJARAN	Sumatera Utara	2503	3
UNIVERSITAS PENDIDIKAN INDONESIA	Aceh	77	0.1
UNIVERSITAS PENDIDIKAN INDONESIA	Bali	25	0
UNIVERSITAS PENDIDIKAN INDONESIA	Banten	2389	4.3
UNIVERSITAS PENDIDIKAN INDONESIA	Bengkulu	100	0.2
UNIVERSITAS PENDIDIKAN INDONESIA	DI Yogyakarta	76	0.1
UNIVERSITAS PENDIDIKAN INDONESIA	DKI Jakarta	1856	3.3
UNIVERSITAS PENDIDIKAN INDONESIA	Gorontalo	12	0
UNIVERSITAS PENDIDIKAN INDONESIA	Jambi	123	0.2
UNIVERSITAS PENDIDIKAN INDONESIA	Jawa Barat	47039	84.8
UNIVERSITAS PENDIDIKAN INDONESIA	Jawa Tengah	784	1.4
UNIVERSITAS PENDIDIKAN INDONESIA	Jawa Timur	382	0.7
UNIVERSITAS PENDIDIKAN INDONESIA	Kalimantan Barat	68	0.1
UNIVERSITAS PENDIDIKAN INDONESIA	Kalimantan Selatan	36	0.1
UNIVERSITAS PENDIDIKAN INDONESIA	Kalimantan Tengah	29	0.1
UNIVERSITAS PENDIDIKAN INDONESIA	Kalimantan Timur	73	0.1
UNIVERSITAS PENDIDIKAN INDONESIA	Kalimantan Utara	8	0
UNIVERSITAS PENDIDIKAN INDONESIA	Kepulauan Bangka Belitung	270	0.5
UNIVERSITAS PENDIDIKAN INDONESIA	Kepulauan Riau	132	0.2
UNIVERSITAS PENDIDIKAN INDONESIA	Lampung	277	0.5
UNIVERSITAS PENDIDIKAN INDONESIA	Maluku	10	0
UNIVERSITAS PENDIDIKAN INDONESIA	Maluku Utara	13	0
UNIVERSITAS PENDIDIKAN INDONESIA	Nusa Tenggara Barat	55	0.1
UNIVERSITAS PENDIDIKAN INDONESIA	Nusa Tenggara Timur	39	0.1
UNIVERSITAS PENDIDIKAN INDONESIA	Papua	8	0
UNIVERSITAS PENDIDIKAN INDONESIA	Papua Barat	9	0
UNIVERSITAS PENDIDIKAN INDONESIA	Riau	211	0.4
UNIVERSITAS PENDIDIKAN INDONESIA	Sulawesi Barat	9	0
UNIVERSITAS PENDIDIKAN INDONESIA	Sulawesi Selatan	77	0.1
UNIVERSITAS PENDIDIKAN INDONESIA	Sulawesi Tengah	26	0
UNIVERSITAS PENDIDIKAN INDONESIA	Sulawesi Tenggara	27	0
UNIVERSITAS PENDIDIKAN INDONESIA	Sulawesi Utara	19	0
UNIVERSITAS PENDIDIKAN INDONESIA	Sumatera Barat	335	0.6
UNIVERSITAS PENDIDIKAN INDONESIA	Sumatera Selatan	209	0.4
UNIVERSITAS PENDIDIKAN INDONESIA	Sumatera Utara	699	1.3
UNIVERSITAS SEBELAS MARET	Aceh	125	0.1
UNIVERSITAS SEBELAS MARET	Bali	124	0.1
UNIVERSITAS SEBELAS MARET	Banten	2039	2.2
UNIVERSITAS SEBELAS MARET	Bengkulu	288	0.3
UNIVERSITAS SEBELAS MARET	DI Yogyakarta	3710	4.1
UNIVERSITAS SEBELAS MARET	DKI Jakarta	2280	2.5
UNIVERSITAS SEBELAS MARET	Gorontalo	46	0.1
UNIVERSITAS SEBELAS MARET	Jambi	311	0.3
UNIVERSITAS SEBELAS MARET	Jawa Barat	6336	6.9
UNIVERSITAS SEBELAS MARET	Jawa Tengah	59998	65.8
UNIVERSITAS SEBELAS MARET	Jawa Timur	8629	9.5
UNIVERSITAS SEBELAS MARET	Kalimantan Barat	290	0.3
UNIVERSITAS SEBELAS MARET	Kalimantan Selatan	204	0.2
UNIVERSITAS SEBELAS MARET	Kalimantan Tengah	253	0.3
UNIVERSITAS SEBELAS MARET	Kalimantan Timur	321	0.4
UNIVERSITAS SEBELAS MARET	Kalimantan Utara	63	0.1
UNIVERSITAS SEBELAS MARET	Kepulauan Bangka Belitung	217	0.2
UNIVERSITAS SEBELAS MARET	Kepulauan Riau	359	0.4
UNIVERSITAS SEBELAS MARET	Lampung	823	0.9
UNIVERSITAS SEBELAS MARET	Maluku	63	0.1
UNIVERSITAS SEBELAS MARET	Maluku Utara	53	0.1
UNIVERSITAS SEBELAS MARET	Nusa Tenggara Barat	285	0.3
UNIVERSITAS SEBELAS MARET	Nusa Tenggara Timur	266	0.3
UNIVERSITAS SEBELAS MARET	Papua	156	0.2
UNIVERSITAS SEBELAS MARET	Papua Barat	90	0.1
UNIVERSITAS SEBELAS MARET	Riau	520	0.6
UNIVERSITAS SEBELAS MARET	Sulawesi Barat	30	0
UNIVERSITAS SEBELAS MARET	Sulawesi Selatan	306	0.3
UNIVERSITAS SEBELAS MARET	Sulawesi Tengah	88	0.1
UNIVERSITAS SEBELAS MARET	Sulawesi Tenggara	144	0.2
UNIVERSITAS SEBELAS MARET	Sulawesi Utara	82	0.1
UNIVERSITAS SEBELAS MARET	Sumatera Barat	649	0.7
UNIVERSITAS SEBELAS MARET	Sumatera Selatan	649	0.7
UNIVERSITAS SEBELAS MARET	Sumatera Utara	1407	1.5
UNIVERSITAS SRIWIJAYA	Aceh	49	0.1
UNIVERSITAS SRIWIJAYA	Bali	4	0
UNIVERSITAS SRIWIJAYA	Banten	231	0.5
UNIVERSITAS SRIWIJAYA	Bengkulu	655	1.5
UNIVERSITAS SRIWIJAYA	DI Yogyakarta	63	0.1
UNIVERSITAS SRIWIJAYA	DKI Jakarta	194	0.4
UNIVERSITAS SRIWIJAYA	Gorontalo	3	0
UNIVERSITAS SRIWIJAYA	Jambi	1149	2.6
UNIVERSITAS SRIWIJAYA	Jawa Barat	537	1.2
UNIVERSITAS SRIWIJAYA	Jawa Tengah	174	0.4
UNIVERSITAS SRIWIJAYA	Jawa Timur	188	0.4
UNIVERSITAS SRIWIJAYA	Kalimantan Barat	16	0
UNIVERSITAS SRIWIJAYA	Kalimantan Selatan	8	0
UNIVERSITAS SRIWIJAYA	Kalimantan Tengah	14	0
UNIVERSITAS SRIWIJAYA	Kalimantan Timur	12	0
UNIVERSITAS SRIWIJAYA	Kalimantan Utara	4	0
UNIVERSITAS SRIWIJAYA	Kepulauan Bangka Belitung	744	1.7
UNIVERSITAS SRIWIJAYA	Kepulauan Riau	242	0.5
UNIVERSITAS SRIWIJAYA	Lampung	987	2.2
UNIVERSITAS SRIWIJAYA	Maluku	7	0
UNIVERSITAS SRIWIJAYA	Maluku Utara	3	0
UNIVERSITAS SRIWIJAYA	Nusa Tenggara Barat	14	0
UNIVERSITAS SRIWIJAYA	Nusa Tenggara Timur	5	0
UNIVERSITAS SRIWIJAYA	Papua	11	0
UNIVERSITAS SRIWIJAYA	Papua Barat	4	0
UNIVERSITAS SRIWIJAYA	Riau	304	0.7
UNIVERSITAS SRIWIJAYA	Sulawesi Barat	2	0
UNIVERSITAS SRIWIJAYA	Sulawesi Selatan	28	0.1
UNIVERSITAS SRIWIJAYA	Sulawesi Tengah	5	0
UNIVERSITAS SRIWIJAYA	Sulawesi Tenggara	4	0
UNIVERSITAS SRIWIJAYA	Sulawesi Utara	7	0
UNIVERSITAS SRIWIJAYA	Sumatera Barat	425	1
UNIVERSITAS SRIWIJAYA	Sumatera Selatan	36461	82.7
UNIVERSITAS SRIWIJAYA	Sumatera Utara	1515	3.4
UNIVERSITAS SUMATERA UTARA	Aceh	1923	3.1
UNIVERSITAS SUMATERA UTARA	Bali	6	0
UNIVERSITAS SUMATERA UTARA	Banten	142	0.2
UNIVERSITAS SUMATERA UTARA	Bengkulu	103	0.2
UNIVERSITAS SUMATERA UTARA	DI Yogyakarta	29	0
UNIVERSITAS SUMATERA UTARA	DKI Jakarta	175	0.3
UNIVERSITAS SUMATERA UTARA	Gorontalo	1	0
UNIVERSITAS SUMATERA UTARA	Jambi	330	0.5
UNIVERSITAS SUMATERA UTARA	Jawa Barat	467	0.7
UNIVERSITAS SUMATERA UTARA	Jawa Tengah	69	0.1
UNIVERSITAS SUMATERA UTARA	Jawa Timur	82	0.1
UNIVERSITAS SUMATERA UTARA	Kalimantan Barat	43	0.1
UNIVERSITAS SUMATERA UTARA	Kalimantan Selatan	19	0
UNIVERSITAS SUMATERA UTARA	Kalimantan Tengah	19	0
UNIVERSITAS SUMATERA UTARA	Kalimantan Timur	22	0
UNIVERSITAS SUMATERA UTARA	Kalimantan Utara		0
UNIVERSITAS SUMATERA UTARA	Kepulauan Bangka Belitung	30	0
UNIVERSITAS SUMATERA UTARA	Kepulauan Riau	748	1.2
UNIVERSITAS SUMATERA UTARA	Lampung	74	0.1
UNIVERSITAS SUMATERA UTARA	Maluku	4	0
UNIVERSITAS SUMATERA UTARA	Maluku Utara	2	0
UNIVERSITAS SUMATERA UTARA	Nusa Tenggara Barat	10	0
UNIVERSITAS SUMATERA UTARA	Nusa Tenggara Timur	5	0
UNIVERSITAS SUMATERA UTARA	Papua	23	0
UNIVERSITAS SUMATERA UTARA	Papua Barat	21	0
UNIVERSITAS SUMATERA UTARA	Riau	2853	4.5
UNIVERSITAS SUMATERA UTARA	Sulawesi Barat	2	0
UNIVERSITAS SUMATERA UTARA	Sulawesi Selatan	19	0
UNIVERSITAS SUMATERA UTARA	Sulawesi Tengah	4	0
UNIVERSITAS SUMATERA UTARA	Sulawesi Tenggara	3	0
UNIVERSITAS SUMATERA UTARA	Sulawesi Utara	6	0
UNIVERSITAS SUMATERA UTARA	Sumatera Barat	741	1.2
UNIVERSITAS SUMATERA UTARA	Sumatera Selatan	136	0.2
UNIVERSITAS SUMATERA UTARA	Sumatera Utara	54792	87.1
UNIVERSITAS SYIAH KUALA	Aceh	32133	85.1
UNIVERSITAS SYIAH KUALA	Bali	1	0
UNIVERSITAS SYIAH KUALA	Banten	34	0.1
UNIVERSITAS SYIAH KUALA	Bengkulu	26	0.1
UNIVERSITAS SYIAH KUALA	DI Yogyakarta	15	0
UNIVERSITAS SYIAH KUALA	DKI Jakarta	63	0.2
UNIVERSITAS SYIAH KUALA	Gorontalo		0
UNIVERSITAS SYIAH KUALA	Jambi	41	0.1
UNIVERSITAS SYIAH KUALA	Jawa Barat	158	0.4
UNIVERSITAS SYIAH KUALA	Jawa Tengah	36	0.1
UNIVERSITAS SYIAH KUALA	Jawa Timur	45	0.1
UNIVERSITAS SYIAH KUALA	Kalimantan Barat	13	0
UNIVERSITAS SYIAH KUALA	Kalimantan Selatan	1	0
UNIVERSITAS SYIAH KUALA	Kalimantan Tengah	1	0
UNIVERSITAS SYIAH KUALA	Kalimantan Timur	4	0
UNIVERSITAS SYIAH KUALA	Kalimantan Utara	1	0
UNIVERSITAS SYIAH KUALA	Kepulauan Bangka Belitung	10	0
UNIVERSITAS SYIAH KUALA	Kepulauan Riau	60	0.2
UNIVERSITAS SYIAH KUALA	Lampung	34	0.1
UNIVERSITAS SYIAH KUALA	Maluku		0
UNIVERSITAS SYIAH KUALA	Maluku Utara	5	0
UNIVERSITAS SYIAH KUALA	Nusa Tenggara Barat	6	0
UNIVERSITAS SYIAH KUALA	Nusa Tenggara Timur		0
UNIVERSITAS SYIAH KUALA	Papua	2	0
UNIVERSITAS SYIAH KUALA	Papua Barat	3	0
UNIVERSITAS SYIAH KUALA	Riau	272	0.7
UNIVERSITAS SYIAH KUALA	Sulawesi Barat		0
UNIVERSITAS SYIAH KUALA	Sulawesi Selatan	7	0
UNIVERSITAS SYIAH KUALA	Sulawesi Tengah	1	0
UNIVERSITAS SYIAH KUALA	Sulawesi Tenggara	2	0
UNIVERSITAS SYIAH KUALA	Sulawesi Utara	1	0
UNIVERSITAS SYIAH KUALA	Sumatera Barat	772	2
UNIVERSITAS SYIAH KUALA	Sumatera Selatan	42	0.1
UNIVERSITAS SYIAH KUALA	Sumatera Utara	3983	10.5
Total	Aceh	37831	2.8
Total	Bali	3906	0.3
Total	Banten	51867	3.8
Total	Bengkulu	6643	0.5
Total	DI Yogyakarta	52345	3.8
Total	DKI Jakarta	109027	8
Total	Gorontalo	1177	0.1
Total	Jambi	11227	0.8
Total	Jawa Barat	270770	19.9
Total	Jawa Tengah	205129	15
Total	Jawa Timur	227690	16.7
Total	Kalimantan Barat	4921	0.4
Total	Kalimantan Selatan	4543	0.3
Total	Kalimantan Tengah	3696	0.3
Total	Kalimantan Timur	8162	0.6
Total	Kalimantan Utara	1531	0.1
Total	Kepulauan Bangka Belitung	4385	0.3
Total	Kepulauan Riau	9510	0.7
Total	Lampung	12863	0.9
Total	Maluku	1724	0.1
Total	Maluku Utara	1407	0.1
Total	Nusa Tenggara Barat	6948	0.5
Total	Nusa Tenggara Timur	5298	0.4
Total	Papua	2983	0.2
Total	Papua Barat	1355	0.1
Total	Riau	21853	1.6
Total	Sulawesi Barat	2497	0.2
Total	Sulawesi Selatan	44739	3.3
Total	Sulawesi Tengah	3266	0.2
Total	Sulawesi Tenggara	4448	0.3
Total	Sulawesi Utara	2277	0.2
Total	Sumatera Barat	90322	6.6
Total	Sumatera Selatan	48253	3.5
Total	Sumatera Utara	99136	7.3
